file,kappa_mean,kappa_median,exact_mean_%,adjacent_mean_%,mae_dim_mean,rho_total,mae_total,n_dimensions_evaluated
results/evaluations_active.csv,0.19309367105418654,0.18745040590856377,81.50572831423895,96.69939989088925,0.21794871794871792,0.5564786210257976,5.115384615384615,46
results/evaluations_active_cs_by_chapter.csv,0.16582687220067877,0.1457052763691783,73.45881069285325,96.59028914348062,0.2995090016366612,0.5068776376025098,8.205128205128204,46
results/evaluations_cot.csv,0.2441134747270145,0.2156153077444844,79.18712493180578,96.7266775777414,0.240861974904528,0.5700446450188262,5.32051282051282,46
results/evaluations_cot_by_chapter.csv,0.17472710428419672,0.12714982604428604,73.48608837970541,96.34478996181123,0.3016912165848336,0.446970037071249,8.794871794871796,46
results/evaluations_critique.csv,0.18961211445217352,0.14168102401628063,78.72340425531915,96.61756683033278,0.24659028914348055,0.5709736339744272,5.717948717948718,46
results/evaluations_critique_by_chapter.csv,0.18396392625233765,0.15951052004156474,73.15875613747956,96.59028914348062,0.3025095471903983,0.46426100320013497,8.961538461538462,46
results/evaluations_decomposed.csv,0.21459434896622467,0.2475253825276575,80.16912165848336,96.61756683033278,0.23213311511183846,0.4737643619282976,4.705128205128205,46
results/evaluations_decomposed_by_chapter.csv,0.171874363320015,0.13977065415689338,75.34097108565194,96.12656846699397,0.28532460447354063,0.4927573699227333,7.230769230769231,46
results/evaluations_deliberative.csv,0.22836769986719457,0.18576333449101318,79.7872340425532,96.75395526459354,0.23458810692853246,0.5851568927602093,4.82051282051282,46
results/evaluations_deliberative_by_chapter.csv,0.15684431818309189,0.12959770114942526,72.6404800872886,96.26295690125478,0.3109656301145663,0.5355141044133143,8.487179487179487,46
results/evaluations_few.csv,0.1987964466727377,0.18070652173913043,78.50518276050191,97.51773049645391,0.23977086743044188,0.5179350006483446,7.576923076923077,46
results/evaluations_few_by_chapter.csv,0.18126150240074684,0.13333333333333341,69.83087834151664,94.27168576104745,0.358974358974359,0.45740196722030607,10.846153846153847,47
results/evaluations_instructions.csv,0.25237486518537094,0.27372110923880244,81.34206219312601,96.481178396072,0.22176759410801963,0.5929507508028216,4.756410256410256,46
results/evaluations_instructions_by_chapter.csv,0.16282325569450526,0.10461061248462816,74.822695035461,96.48117839607198,0.2869612656846699,0.5220057135843584,7.512820512820513,46
results/evaluations_react.csv,0.21957749754955277,0.20276024078696225,81.39661756683034,96.56301145662847,0.22040370976541188,0.4840582183740097,6.333333333333333,46
results/evaluations_react_by_chapter.csv,0.17697633798256765,0.15517318025149446,78.55973813420623,96.83578832515003,0.24604473540643748,0.3822470485703279,6.153846153846154,46
results/evaluations_sc.csv,0.22422347640247817,0.212294144252002,81.56028368794327,96.61756683033276,0.2182214948172395,0.548020772630446,5.205128205128205,46
results/evaluations_sc_by_chapter.csv,0.17547144214657884,0.14720255580674424,80.11456628477906,97.05400981996728,0.2283142389525368,0.43262882621410387,5.115384615384615,46
results/evaluations_zero.csv,0.11716973863771962,0.036890243902439,76.78668848881615,96.23567921440264,0.26977632296781234,0.4516848848721303,4.269230769230769,46
results/evaluations_zero_by_chapter.csv,0.09288073300760645,0.017647395435512192,71.71303873431532,96.39934533551552,0.3188761593016912,0.33502448309396143,6.089743589743589,46
